ID;Title;Chunk;Description;Source
14;About Tiktok Advertising Policies For Promote;"Promote is an advertising tool you can use in the TikTok app to help people discover your videos, guide more people to your website, and improve your chances to gain followers. This means that your video will be displayed as an ad for the time that you promote your video.
Comply with TikTok’sTerms of Service,Community Guidelines, andAdvertising Policies.Content that does not comply with any of these rules may be removed or subject to other restrictions.We may update these rules periodically, for instance, if we need to reflect any changes to applicable laws or regulations. In some instances, we may need to apply them to content you have already posted, for example, if a new law requires us to no longer display certain types of content.
Comply with TikTok’sTerms of Service,Community Guidelines, andAdvertising Policies.
Content that does not comply with any of these rules may be removed or subject to other restrictions.
We may update these rules periodically, for instance, if we need to reflect any changes to applicable laws or regulations. In some instances, we may need to apply them to content you have already posted, for example, if a new law requires us to no longer display certain types of content.
Promote is only available for public videos.
You can only promote videos that use original sound or sounds that can be used for commercial purposes. TheCommercial Music Libraryis our library of more than 1,000,000 commercial sounds that can be used for your Promote video.
Be 18 years of age or older.
Agree and acknowledge the ""Promote Terms of Service"" andTikTok Privacy Policywhen prompted during campaign setup.
Government, Politician, and Political Party Accounts (GPPPAs) are not eligible to use Promote. For more information about monetization policies for GPPPAs, read ourGovernment, Politician, and Political Party Accountspolicy.
Political content and tobacco and nicotine-related content are not allowed. Read ourTikTok Advertising Policiesto learn what other products and services are not allowed.";TikTok Promote ad tool guidelines.;TikTok Ad Policies
15;Tiktok Ads Policy Politics Religion And Culture;"At TikTok, users can share political content organically as long as it's in line with ourCommunity Guidelines. However, we do not allow political content to feature in advertising. We also do not allow content that disrespects religious elements, cultures, or figures, or any hateful behavior, hate speech, or the promotion of hateful ideologies.
We do not allow ads featuring political content across any of our monetization features, including paid ads, creators being paid to makebranded political content, and other promotional tools on the platform. We also impose prohibitions at theaccountlevel for advertisers we identify as politicians and political parties, who are not able to create advertising accounts or access advertising features.
The types of advertisers that are not allowed to advertise on our platform:
Candidates or nominees for public office, political parties, elected or appointed government officials
The spouses of candidates, elected, or appointed government officials with official duties or offices
Royal Family members with official government capacities
Government entities may be eligible to advertise if managed by a TikTok Sales Representative.
Examples of what is not allowed:
Referencing, promoting, or opposing candidates or nominees for public office, political parties, or elected or appointed government officials
Advocacy for or against past, current, or proposed referenda, ballot measures, and legislative, judicial, or regulatory outcomes or processes. This includes ads that promote or attack government policies or track records.
Referencing, promoting, or selling merchandise that features prohibited individuals, entities, or content, including campaign slogans, symbols, or logos
References to an election, including voter registration, voter turnout, and appeals for votes, such as ads that encourage people to vote
At TikTok, we do not allow content that disrespects religious elements, cultures, or figures.
Sensitive religious content, such as disrespectful actions, words, or symbols towards a religion
Reference to religious figures or leaders in a negative manner
Claims that faith-based healing, counseling, or miracle-working can treat, cure, or alleviate physical, emotional, or mental health";TikTok: No political or religious ads allowed.;TikTok Ad Policies
16;Non Governmental Organization And Non Profit Organization;"TikTok is deeply committed to inspiring creativity and bringing joy to all of our users. We allow non-governmental organizations (NGOs) or non-profit organizations (NPOs) to advertise in limited circumstances through an approval process. This allows qualified NGOs and NPOs to advertise on TikTok. To do this, NGOs and NPOs must work with a TikTok Sales Representative, and their promoted content must follow ourTikTok Advertising PoliciesandCommunity Guidelines. To ensure a positive experience for all TikTok users, ads must follow our advertising policies.
NGO and NPO eligibility varies by market for account registration. Review theNon-governmental organization requirements by marketsection to understand how to qualify for advertising in your target market.
Your NGO can be registered as a civil association or foundation, and must be registered in the country as a legal entity. Your NGO can be found on theNational Registry for Legal Entities.
Must be registered with the Australian Charities and Not-for-profits Commission (ACNC)
NGOs and charities for issue-based causes require case by case evaluation
Must not be promoted or sponsored by a prohibited industry. For example, a gambling brand promoting a charity.
You must be registered with theFederal Foundation and Fund Registeror with theFederal Ministry of the Interior.
Fundraisers: You must present the legal documentation, such as a Business License, indicating that you are permitted to collect donations in the targeted market.
NGO: You must present the legal documentation, such as a Business License, indicating that you are an NGO that is permitted to conduct this business in the targeted market.
NGOs should register with the Ministry of Justice.
501(c)(3) NGOs cannot target this market.
You must be registered with Federal Public Service Finance (UBO register).
You must be registered as a legal entity in one of the following:
Co-ops
Religious organizations
Private non-profit associations
You must be either a local association/NGO or a foreign association/NGO and meet credentials that demonstrate registration with the relevant regulatory body:
Local Associations/NGOs must provide all of the below:
A Letter of Approval on Registration of a Local Association or Local NGO issued by the Ministry of Interior (""MOI"")
Statute of Local Association or Local NGO approved by the МОІ
A Certificate of Tax Registration issued by the General Department of Taxation (""GDT"")
A Tax Registration Identification Card issued by the GDT and a Letter of Tax Compliance issued by the GDT.
Foreign Associations/NGOs must produce all of the following:
Memorandum of Understanding (MOU) signed with the Ministry of Foreign Affairs and International Cooperation (""MOFAIC"")
Certificate of Tax Registration issued by the GDT
Tax Registration Identification Card issued by the GDT and
Letter of Tax Compliance issued by the GDT
Note:The transparency report must publicly display fund allocation information, such as the quantity of funds the NGO or NPO has received and a breakdown of how the funds are used.
You must demonstrate registration as a legal entity in one of the following:
Foundations
Indigenous communities
Private non-profit associations or corporations
Non-profit organizations or non-profit legal entities
Associations
Unions
You must be registered with the Danish Business Authority.
You must demonstrate registration as a legal entity as Non-Profit Associations (""ASFL"").
Your NGO must be registered as a non-profit social association. It must be registered in the country as a legal entity.
A list of NGOs can be found at theNational Registry for Legal Entities.
You must be registered with the Finnish Register of Foundations.
You must be registered as an association or foundation with French authorities.
You must be registered as an association, foundation, non-profit limited liability company, or non-profit entrepreneurial company.
Verify by checking theCommon Register Portal of the German Federal Statesfor associations, non-profit limited liability companies, or non-profit entrepreneurial companies.
For foundations, check the registers of the respective states. A non-exhaustive overview can be found in the database of theFederal Association of German Foundations.
Advertising NGOs must be legal persons of private law, of a non-profit nature. They are not public administration agencies.
Civil Associations or Organizations
You must be registered with the Hungarian Court of Registry.
Only an NGO or NPO that is classified as a mass organization with legal entity status, such as an association or a foundation, is allowed. Registered associations and foundations must be found on the Ministry of Law and Human Rights website and related certificates must be provided:
Association:https://ahu.go.id/pencarian/profil-perkumpulan
Foundation:https://ahu.go.id/pencarian/profil-yayasan
Note:NGOs or NPOs collecting donations must present an option for the minimum donation amount to be Rp. 25,000 or lower.
You must be registered with the Charities Regulatory Authority.
You must be registered with theRegistrar of Charitable Trust, aka the Registrar of Public Endowments.
In order to be legally recognized, the Italian foundation must be registered with the regional authority of the city it was established in.
You must be a registered Non-governmental Organization (NGO) or Non-profit organization (NPO) with the Japanese competent authority.
You must be registered with the Ministry of Justice.
You must be able to provide at least one of the following certificates or registration documents:
Certificate of Registration - issued by the Registrar of Societies for societies registered under the Societies Act
Certificate of Incorporation - issued by the Legal Affairs Division of the Prime Minister's Department for trustees incorporated as a body corporate trust under the Trustees (Incorporation) Act 1952
Tax exemption certificate - issued by the Inland Revenue Board to organisations that satisfy criteria for tax exemption
Your NGO can be registered as a civil association or a corporation, a private assistance institution, or a foundation or trust. You must be registered in the country as a legal entity.
The legal name of the NGO must end with AC, SC, or IAP.
Must be on the National Charities Register.
Must not be promoted or sponsored by a prohibited industry, such as a gambling brand promoting a charity.
You must be registered with the Register of Non-Profit Organisations and in the Central Coordinating Register for Legal Entities.
You must be registered as a Non-governmental organization (NGO) or Non-profit organization (NPO) with at least one of the following institutions:
Securities and Exchange Commission (""SEC"")
Bureau of Internal Revenue (""BIR"")
Philippine Council for NGO Certification
Department of Social Welfare and Development (""DSWD"")
You must be registered with the National Court Register.
Your NGO must have legal personality and be registered with the National Registry of Legal Persons (RNPC).
You must be registered through the general registry of the Ministry of Justice.
Advertisers operating as NGOs with more than 10 people or are conducting fundraising activities must be registered with the Singaporean Commissioner of Charities.
The landing page must have links through which the ""transparency report"" of the NGO or NPO can be accessed. The transparency report must not be older than 24 months old from the date of submitting the ad for review to TikTok.
Note:The transparency report must publicly display fund allocation information, such as quantity of funds the NGO or NPO has received and a breakdown of how the funds are used.
South Korea
You must provide proof of registration as one of the following:
Non-profit voluntary organisation (비영리임의단체)
Non-profit private organisation (비영리민간단체)
Non-profit corporation (비영리사단법인), Non-profit foundation(비영리재단법인)
Social cooperatives (사회적협동조합)
Social welfare organisation (사회복지법인)
Founders must register with the Registry of Associations.
You must also register your association with the Swedish Tax Agency (Skatteverket).
NGOs can be associations or foundations.
For associations, no registration is required unless the association runs a commercial business or is subject to auditing.
For foundations, you must verify by checking theStiftungsverzeichnis (foundation directory).
Taiwan
Advertisers promoting HPV Vaccine Awareness Campaign must provide a License of Public Interest Associations (公益社团法人注册证书) from the Ministry of the Interior (内政部) in Taiwan.
Other NGOs: Case-by-case
Local advertising NGO or NPOs must generally have a Department of Provincial Administration (DOPA) Certificate.
Turkey
You must be registered with theUK Charity CommissionRegistration.
At this time, only advertisers with a 501(c)3 IRS designation are eligible to advertise. Eligible organizations also must be approved on the allowlist prior to advertising.
Vietnam
You must be either a local or foreign NGO, social or charity fund, or a private establishment with credentials that demonstrate registration with the relevant regulatory body:
Foreign NGOs must have either one of the following:
Certificate of Registration of Operations
Certificate of Registration for Establishment of the Project Office
Certificate of Registration for Establishment of a Representative Office.
Social funds and charity funds must be:
Registered under the Licence for Fund Establishment and Fund Charter Recognition
Private establishments must be registered by one of the following:
The issuance by a Certificate of Establishment Registration
Certificate of Operation Registration";TikTok's NGO/NPO advertising approval requirements.;TikTok Ad Policies
17;Advertising On Tiktok First Things To Note;"Before getting started:TikTok Advertising Policies - Ad Creativesapply to all of TikTok's paid advertising products.
As an advertiser on TikTok, you are responsible for yourads. This means complying with all applicable laws, rules and regulations that apply to the targeted regions (including any advertising codes, such as theCAP Non-broadcast Code in the UK), creating and promoting honest, safe, and respectful ads. Additionally, you must comply with ourTerms of Service,Community Guidelines, and all of TikTok's policies found in ourBusiness Help Centergoverning the use of our services. We strive to keep up with changing times and regulations and are committed to providing a better user experience when viewing TikTok Ads.
We provide information about the types of products and services that can be advertised through TikTok ads. Please take a moment to review if the products or services that you intend to promote are acceptable in the desired target region.
From time to time, we may invite advertisers to participate in alpha and beta tests in select industries that are otherwise still considered prohibited or restricted. Participants are subject to confidentiality (per8.4 of the Commercial Terms of Service) and may be subject to additional requirements. We may choose to revoke participation or discontinue the alpha or beta tests at any time, and will strive to keep you informed if testing results in any material changes to our advertising policies.
There may be circumstances where our advertising policies might be amended by ourindustry pilot program, for which we put in place appropriate risk mitigations for the opening of new industries.
For matters relating to intellectual property infringement, seeIntellectual Property Infringement Rules for Ads.
These policies serve as a guideline to review the eligibility of an advertisement placed with us by advertisers.
As part of the TikTok ads review process, we take the following into consideration:
Eligibility of the promoted product or servicesAd content which includes:Caption or textImages or visual contentAudio contentAny other content that forms part of the ad that would be published to target audience
Eligibility of the promoted product or services
Ad content which includes:
Caption or text
Images or visual content
Audio content
Any other content that forms part of the ad that would be published to target audience
Targeted market and age group
Consistency between an ad and the landing page
Functionality and eligibility of landing page
In order for your ads to run smoothly and successfully on our platform, it is important for your business and ad content to be compliant with all of our policies.
While some TikTok ads might take longer than usual for the review process to complete, most are reviewed within 24 hours. Once your ad has been approved and published, you will receive a notification. If the ad is rejected and there are changes that can be made to help publish your ad, you will be notified through Ad Group on the TikTok Ads Manager platform.
If your TikTok Ads have been rejected due to non-compliance with our policies, review the details of the disapproval, edit the ad, and submit them for re-review.
To edit your ad:
Start at yourTikTok Ads Managerdashboard.
SelectNotificationsto review the details of rejection. It will be shown in yourAd Groupas suggestions.
Recreate or amend your ad based on the information in the received notification. Read ourHow to Edit Ad Settings | TikTok Ads Managerarticle for more details.
Saveyour changes. Once saved, your ad will be submitted for re-review.
If you cannot edit your ads or feel it was mistakenly rejected, request a review of the decision viaAdvertiser Support. Visit ourView Campaign or Ad Status | TikTok Ads Managerpage for more details.
Start at yourTikTok Ads Managerdashboard.From the bottom-right corner select the?icon. orFrom the top-right corner, selectCustomer Support, or from the bottom-right, select theHelpicon.
From the bottom-right corner select the?icon. or
From the top-right corner, selectCustomer Support, or from the bottom-right, select theHelpicon.";TikTok advertising policies and compliance guidelines.;TikTok Ad Policies
18;List Of Regional Self Regulatory Ad Codes For The European Union;"As an advertiser on TikTok, you are responsible for creating and promoting honest, safe, and respectfulads. This means complying with all applicable laws, rules, and regulations that apply to your targeted markets, including any regional advertising codes. Additionally, you must comply with ourTerms of Service,Community Guidelines, and all of TikTok's policies found in ourBusiness Help Centergoverning the use of our services.
We strive to keep up with changing times and regulations, and are committed to providing a better user experience when viewing ads.
Refer to the following self-regulatory codes and follow other local regulations in the targeted markets.";TikTok advertising compliance standards.;TikTok Ad Policies
19;Government Agency Advertisers;At TikTok, we have a longstanding policy of not allowing political advertising, including both paid ads and creators being paid to make branded political content. We recognize that there will be occasions when official government organizations may have a reason to advertise on TikTok, for example, to promote public health initiatives like COVID-19 booster programs. We'll continue to allow government organizations to advertise in limited circumstances. To do this, governments must work with a TikTok Sales Representative, and the promoted content must follow ourTikTok Advertising PoliciesandCommunity Guidelines.;"No political ads; limited government exceptions.";TikTok Ad Policies
20;Tiktok Ads Policy Other Products And Services;"Our policies are carefully set to ensure that the TikTok platform remains a safe and healthy space for its diverse community. We aim to create an environment where users can take part in a positive community experience.
Ad content and landing pages advertising services related to tax planning, tax accounting, and tax declaration are generally allowed.
Country-specific requirements:
Accounting and taxation content is allowed with restrictions in the following countries:
Accounting and taxation content is not allowed in the following countries:
Energy drinks are not allowed in the following countries:
Ad content and landing pages advertising legal services, including those provided by law firms, lawyers, counseling services, and other legal advice applications are allowed with restrictions or prohibited based on the market. Country-specific requirements are listed below.
Law firm content is allowed with restrictions in the following countries:
Law firm content is not allowed in the following countries:
Legal counseling service content is allowed with restrictions in the following countries:
Legal counseling service content is not allowed in the following countries:
Other legal service content, including legal consulting, lawyer hiring, and arbitration services, is allowed with restrictions in the following countries:
Other legal service content, including legal consulting, lawyer hiring, and arbitration services, is not allowed in the following countries:
Ad content for movies, games and television must use age-targeting that is in line with market industry age certification requirements.
We do not allow insulting words or actions or gestures in ad content.
Jump scares, visuals of horror or supernatural characters may be used in ad creatives provided they appear after the first 6 seconds.
Brief or incidental references to and depictions of alcohol are allowed in film, television, and game trailers, provided 18+ age targeting is in place. All references must be moderate, must not feature specific brands or minors, and must not glamorize alcohol use and consumption in the following countries:
All mentions or clips of any films, TV shows, or video, computer, or phone game, regardless of age rating, are not allowed in the following countries:
Businesses or organizations that carry out services related to land and buildings, including those engaged in the development, construction, management, marketing, and brokerage of real estate must:
Comply with relevant laws and be registered and licensed with regional authorities.
Disclose advertiser information and contact details on landing pages.
If your promoted brand or product is classified as HFSS according to local regulations in your target market, we require you to disclose this to us. For auction ads, you can declare HFSS status yourself when uploading a new ad group. For reservation ads, you should liaise with your TikTok representative.
Ads for HFSS products must target users aged 18 years and older in the following countries:
Ads for HFSS products are not allowed in the following countries:
This policy addresses the promotion of various agricultural products, including chemical fertilizers, agricultural agents controlling pests and diseases, substances regulating plant growth, pesticides, plant nutrients, toxic elements, and plant foods, such as products supporting plant growth and protection.
Chemical fertilizer and pesticide content is not allowed in the following countries:
Chemical fertilizer and pesticide content is allowed with restrictions in the following countries:
Chemical fertilizer and pesticide content is allowed in the following countries:
Underwear and shapewear, including bras, thongs, microthongs, underwear, and any kind of shapewear shown on or off a model, are not allowed in the following countries:
Swimwear, including micro-bikinis, cut-out bikinis, and bikini bottoms are prohibited in the following markets:
We prohibit the promotion of services and activities that are unsuitable, illegal, or that violate ourCommunity Guidelines.
The following are examples of what is not allowed:
Abortion services
Hazardous chemical products
Modeling or influencer recruitment opportunities
Prenatal sex determination services
Human organs or human tissue trading, transplanting, or similar activities
Funeral services
Random, surprise, mystery, or blind boxes that claim to include luxury items or high-cost goods
A virtual private network (VPN) is a mechanism for creating a secure connection between a computing device and a computer network, or between two networks, using an insecure communication medium such as the public internet.
VPN service content is not allowed in the following countries:
VPN service content is allowed with restrictions in the following countries:
VPN services used for copyright infringement purposes or bypassing subscription walls are not allowed.
VPN service content is allowed in the following countries:
We do not allow products or services that offer precise predictions or solutions to certain areas, or other similar items.
Horoscope service content is not allowed in the following countries:
Horoscope service content is allowed with restrictions in the following countries:
Horoscope service content is allowed in the following countries:";TikTok's advertising and content policies.;TikTok Ad Policies
21;Tiktok Ads Policy Misleading And False Content;At TikTok, we have a longstanding policy of not allowing political advertising, including both paid ads and creators being paid to make branded political content. We recognize that there will be occasions when official government organizations may have a reason to advertise on TikTok, for example, to promote public health initiatives like COVID-19 booster programs. We'll continue to allow government organizations to advertise in limited circumstances. To do this, governments must work with a TikTok Sales Representative, and the promoted content must follow our TikTok Advertising Policies and Community Guidelines.;No political ads on TikTok, limited government exceptions.;TikTok Ad Policies
22;Tiktok Ads Policy Alcohol;"We are committed to the safety and well-being of our community. Our focus is to prioritize and protect community interests when allowing the promotion of alcohol.
Our advertising policy for alcohol is based on applicable local laws and regulations. To advertise, promote, sell, or feature branding of alcoholic products and beverages, you must comply with the following requirements as well as themarket-specific requirements:
Promote products that are permissible in approved countries.
Clearly state the alcoholic content and strength of a beverage and carry a responsible drinking disclaimer on ad content and landing pages.
Obtain and submit all necessary licenses from authorized regulators or be established as lawful in markets you want to target.
Examples of what is not allowed in ad content or on landing pages:
Targeting or appealing to people below the legal drinking age
Featuring people below the age of 25
Featuring pregnant people
Portrayal of excessive drinking, intoxication, or reckless behavior under the influence of alcohol
Offering alcohol as a prize or reward, or promoting any offers or incentives encouraging the consumption of alcohol.
Sale and delivery services of alcoholic beverages**May be allowed in certain markets, seemarket-specific requirementsfor more details.
Sale and delivery services of alcoholic beverages*
*May be allowed in certain markets, seemarket-specific requirementsfor more details.
Note:Select alcoholic beverages are currently undergoing testing in some markets. From time to time, we may invite you to participate in alpha and beta tests in select industries that are otherwise still considered prohibited or restricted. Participants are subject to confidentiality (per section8.4 of the Commercial Terms of Service) and may be subject to additional requirements. We may choose to revoke participation or discontinue the alpha or beta tests at any time, and will strive to keep you informed if testing results in any material changes to our advertising policies.";Alcohol advertising policy guidelines;TikTok Ad Policies
23;Discrimination Harassment Bullying;"At TikTok, we welcome creative freedom and speech, but to maintain safety for everyone, we do not allow any inappropriate or offensive content.
The following are examples of what is not allowed:
Content that is derogatory, inflammatory, or demeaning
Content that is distasteful, disrespectful, or profane
Content that contains coarse language or insulting actions
Content that exploits sensitive events or topics, such as disasters, or attacks
Discrimination
We do not allow hateful behavior, hate speech, inappropriate glorification or promotion of hateful ideologies.
Examples of what is not allowed:
Targeting individuals or organizations based on protected attributes, such as race, ethnicity, national origin, tribe, sex, sexual orientation, gender, gender identity, religion, caste, age, family status, immigration status, disability, or medical or genetic conditions
Promoting violence, exclusion, segregation, discrimination, and other harms on the basis ofprotected attributes
Demeaning someone on the basis of their protected attributes by saying or implying they are physically, mentally, or morally inferior, or calling them degrading terms, such as criminals, animals, and inanimate objects
Using hateful slurs associated with protected attributes
Promoting or advertising conversion therapy or related programs that attempt to change a person’s sexual orientation or gender identity
Intentionally targeting people who are transgender or gender non-conforming by referring to them using their former name or gender rather than their current name or expressed gender, such as deadnaming or misgendering
Promoting hateful ideologies or claiming supremacy over a group of people on the basis of protected attributes
Facilitating the trade of items that promote hate speech or hateful ideologies, such as books and clothing with hateful logos
Content that praises, promotes, glorifies, or supports hateful ideologies
Harassment and bullying
We do not allow language or behavior that harasses, humiliates, threatens, or doxxes anyone.
Degrading someone or expressing disgust on the basis of their personal characteristics or circumstances, such as their physical appearance, intellect, personality traits, and hygiene
Showing someone being physically bullied by another person or group
Promoting coordinated harassment of a person or attempting to create conflict between people, such as calling for others to flood comments with abusive language
Expressing a desire for a person to die, get a serious disease, or experience other severe physical harm
Threatening or encouraging others to doxx, share account information, blackmail, or hack someone’s account
Degrading victims of violent tragedies, such as claiming that they deserved to die or that surviving members are lying about the event";Strict guidelines against offensive content.;TikTok Ad Policies
24;Actor Policy;"As an advertiser, you play a central role in driving the success of your campaigns. This article provides essential tools and guidance to help you achieve campaign success by outlining key rules and guidelines within our Advertiser Account Policy and explains the evaluation methods used to assess advertiser behavior.
Our advertiser account policies take a broader approach by encompassing not only the content posted on the platform but also the actions and behaviors of our advertisers. These policies address any attempts to bypass, circumvent, or interfere with TikTok's policies, moderation processes, or systems. We adopt this comprehensive perspective, ensuring a holistic evaluation of advertisers' activities, to promote a secure and trustworthy advertising environment.
We do not allow advertisers to circumvent, evade, or interfere with our advertising systems and processes.
Examples of what is not allowed:
Bypassing moderation procedures
Manipulating the platform for personal gain
Engaging in actions that disrupt ad-related operations
We do not allow the promotion of any form of scam on our platforms.
Promoting content designed to deceive or mislead users
Presenting false information to promote job opportunities, products, or services
Advertising deceptive content encouraging users to engage in scams, including those that are executed outside of TikTok’s ecosystem
We do not allow any activities or attempts to mislead users into buying an inauthentic product.
To ensure that advertisers are authentic and well-intended, documents may be required to verify that the business or organization is eligible to advertise in TikTok. For more information, read ourAcceptable Documents for Business Verificationarticle.
Impersonating a public figure
Submitting falsified or inauthentic documents
Abusing TikTok for Business features, intending to deceive or misrepresent identities, credentials or affiliations
Advertisers are required to use legitimate and approved payment methods for all advertising activities and comply with our payment policies to avoid potential account suspension.
To safeguard advertiser information and privacy, our advertiser account policies are designed to combat any attempts to steal accounts, extract user data, or install unauthorized malicious software. As an advertiser, you are required to uphold the highest standards of data security and privacy to maintain the integrity of the platform.
The unauthorized access or control of your ad account is not allowed as breaches can facilitate malicious activities, including the manipulation of sensitive information and unauthorized financial transactions.
In the event of a suspected account takeover, the compromised account will be temporarily suspended to mitigate potential harm to both advertisers and users, and the account will be securely restored to its rightful owner.
At TikTok, we are dedicated to maintaining a safe and trustworthy advertising environment for our users and advertising partners. Transparency and responsible advertising practices are core values that guide our platform's operations. To uphold the integrity of our ecosystem, we reserve the right to evaluate and assess advertiser behavior.
Our review processes may involve manual reviews or automated tools to detect policy violations and risky behavior. Depending on the severity of the situation, enforcement actions may include temporary or permanent suspension from all Bytedance platforms or full traffic control restrictions for TikTok. These measures are essential to ensure a secure and reliable advertising experience for everyone.
If your account has been suspended, read ourAbout suspended ad accounts on TikTokarticle for more details.";TikTok Advertiser Policies: Guidelines and Compliance.;TikTok Ad Policies
25;Tiktok Ads Policy Ad Format And Functionality;"At TikTok, we strive to provide our users with a positive experience by requiring that advertisements on our platform follow certain technical formatting and functionality guidelines to ensure quality, consistency, and clarity.
Landing pages must be functional. Ensure that your landing page functions properly on the network of the targeted market. Different types of ads have different requirements for URL links that redirect users from the ad content. For more information, refer to ourTikTok Ad Specifications.
If your ad or landing page does not meet our Ad Format and Functionality requirements, the performance of your ad may be affected. Based on various quality signals, including automated machine review, human review, and user engagement signals, your ad may be rejected, receive fewer impressions, or your ad's cost-per-impression may increase.
Examples of what is not allowed:
Landing pages that are expired, erroneous, or under construction
Landing pages with incomplete content or information
Landing pages with insufficient original content or having a high ratio of ads relative to original content
Landing pages that are not mobile-friendly
Landing pages that automatically download files
Landing pages that require users to download additional programs or enter personal information in order to access the main content on the landing page
Use of a paid or unpaid Hashtag Challenge (HTC) page as a landing page
E-commerce ads must display complete and accurate information on the landing page.
The valid information required by local law includes, but is not limited to:
Contact details such as telephone number, email address, or optional fax number
Company name
Company address
Business license
Price displayed in local currency
Shipping information
Return and refund policy
Terms and conditions
Privacy policy
Certain countries or territories may require more information. Contact your TikTok Sales Representative for more information.
If you have not provided suitable and sufficient information, and your ad placement is rejected, you will receive a notification to provide additional information in order for the ad to be approved.
Lead ads must include a privacy policy. Learn moreabout TikTok lead generation solutions.
The following are privacy policy requirements:
Be clearly displayed and easy to find.
Comply with applicable data protection regulations.
In theLink URLfield, enter a link to the privacy policy page or a landing page that displays the clauses of your privacy policy.
Do not use our lead ads product to collect the following information from users, unless you have received written consent from a TikTok Sales Representative:
Information about or revealing racial or ethnic origin
Information about or revealing political opinions or political affiliations
Information about or revealing religious or philosophical beliefs
Information about or revealing trade union membership status
Information concerning health, such as medical history, disabilities, mental or physical condition, or medical treatments
Information concerning a person’s sex life
Information concerning a person’s sexual orientation, including what gender(s) the person identifies with
Information about criminal allegations, arrests, proceedings or convictions of related security measures
Government-issued ID numbers, such as Social Security number, passport number, driver’s license number, or taxpayer or national identification number
Financial information, such as income, bank account number, net worth, credit or debit card number, tax number, CVV, credit scores, debt, financial statement, or bankruptcy status
Insurance information, such as insurance policy numbers or insurance coverage
Network identity information, such as usernames, passwords, password protection answers, or a user's personal digital certificates
Account numbers, such as loyalty card numbers or frequent flyer numbers
User date of birth, year of birth, or exact age
Policy
We do not allow ad content and landing pages to display content that infringes upon or violates the rights of any third party, including copyright, trademark, privacy, publicity, or other personal or proprietary rights.
Displaying personal data information, such as official identification, banking or financial account details, house addresses, or email addresses. Phone numbers are acceptable only if they are the contact information of the advertiser.
Auction ads must not use an unpaid or paid HTC page as a landing page.
Ad content must not contain quick response (QR) codes.
Examples of what is allowed:
QR on product packaging or application
Unscannable matrix codes including item barcodes
Examples of what is not allowed in select markets*:
Ad content with QR codes leading to third-party websites, including social media pages
1. Ad content, including the ad caption, ad text, ad images, ad videos, and ad call-to-action (CTA), needs to be consistent with the promoted product or service on the landing page.
Examples of what is not allowed：
The ad features product A, but the landing page shows product B.
The ad features brand A, but the landing page shows brand B.
The ad features the brand logo on the product, but the landing page does not include the brand logo on product.
2. Ad captions need to be consistent with the corresponding ad image or video.
The ad video says ""Meet your future self!"", but the ad caption says ""Create a cartoon of yourself!"".
The ad image says ""Up to 30% off"", but the ad caption says ""Up to 50% off"".
3. TheDisplay NameandApp Nameneeds to be consistent with the promoted product, service, or app name shown on the landing page.
The display name is ""ABC Lotion"", but the promoted product on the landing page is for ""ABC Shampoo"" or ""XYZ Lotion"".
The app name is ""ABC"", but the app name shown on the landing page is ""XYZ"".
Thedisplay nameis ""VS"" or ""Lotion"", and the display name shown on the landing page is ""VS Lotion"".
Theappname is ""ABC"" and the app name shown on the landing page is ""ABC-xyz"".
1. The ad caption and text must be free of spelling or grammatical mistakes, and must not use symbols incorrectly among the letters.
Use of incorrect spelling or grammar, such as ""Rrom"" instead of ""From""
Excessive or informal use of capitalization, spacing, numbers, symbols, or punctuation among the letters in the ad caption
Uncommon spelling, such as ""fressh""
Example of what is allowed:
Commonly accepted slang, such as ""gonna""
2. The ad image must not feature blurry, unclear, and unrecognizable visuals, and must not use columns or pixels to partially cover images.
Ad images that display incomplete or illegible text
Blurred or masked third-party watermarks
Invalid buttons, induced gestures, or text, such as buttons, gestures, or text that portray unsupported functionality. For example: ""Swipe up to learn more."" text in an ad, because swiping up will just lead users to the next video and not lead them anywhere.
3. The ad must be legible and of a high resolution.
4. The duration of the ad must be a minimum of 5 seconds, and a maximum of 60 seconds.
5. The ad video must use the standard video size:
Vertical (9:16)
Square (1:1)
Horizontal (16:9)
6. The ad must contain audio and it must not be of poor quality, such as having unclear or muffled sound.
7. Ad content must be dynamic. Do not rely on static or still images as the primary element in your ad. Static images should not occupy more than 50% of the video.
8. Ad interaction ensure that your ad incorporates interaction and is not motionless. For example, avoid featuring a person holding a mobile device with a still image on the screen*.
An ad'ssetting languageis the ad targeting language. The language of your ad content and landing page must be consistent with the setting, target language, or with a language that is acceptable for that target market. If the setting language is not specified, then the language of the ad content and landing page must be in a language that is acceptable for that target market. Otherwise, subtitles in a language that is acceptable to the target market must be included.
Market-specific exceptions and restrictions may apply. Contact your TikTok Sales Representative for more details.
The following table details the acceptable languages by market:
*Language requirement is not enforced, but recommended.";TikTok ad guidelines for quality and compliance.;TikTok Ad Policies
